/home/rr568/.conda/envs/icu-benchmark/lib/python3.8/site-packages/lightgbm/engine.py:153: UserWarning: Found `early_stopping_rounds` in params. Will use it instead of argument
  _log_warning("Found `{}` in params. Will use it instead of argument".format(alias))
[LightGBM] [Warning] num_threads is set=10, n_jobs=-1 will be ignored. Current value: num_threads=10
[LightGBM] [Warning] early_stopping_round is set=200, early_stopping_rounds=200 will be ignored. Current value: early_stopping_round=200
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'colsample_bytree' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'num_leaves' was locked by 'sweep' (ignored update).
[34m[1mwandb[39m[22m: [33mWARNING[39m Config item 'subsample' was locked by 'sweep' (ignored update).
[1]	valid_0's auc: 0.792688
Training until validation scores don't improve for 200 rounds
[2]	valid_0's auc: 0.793555
[3]	valid_0's auc: 0.794327
[4]	valid_0's auc: 0.795423
[5]	valid_0's auc: 0.796227
[6]	valid_0's auc: 0.797006
[7]	valid_0's auc: 0.797015
[8]	valid_0's auc: 0.797073
[9]	valid_0's auc: 0.799292
[10]	valid_0's auc: 0.800352
[11]	valid_0's auc: 0.800324
[12]	valid_0's auc: 0.800281
[13]	valid_0's auc: 0.800587
[14]	valid_0's auc: 0.800677
[15]	valid_0's auc: 0.800525
[16]	valid_0's auc: 0.80032
[17]	valid_0's auc: 0.800264
[18]	valid_0's auc: 0.800307
[19]	valid_0's auc: 0.801509
[20]	valid_0's auc: 0.801449
[21]	valid_0's auc: 0.801466
[22]	valid_0's auc: 0.801734
[23]	valid_0's auc: 0.801779
[24]	valid_0's auc: 0.801887
[25]	valid_0's auc: 0.80169
[26]	valid_0's auc: 0.80184
[27]	valid_0's auc: 0.801864
[28]	valid_0's auc: 0.802025
[29]	valid_0's auc: 0.802222
[30]	valid_0's auc: 0.80246
[31]	valid_0's auc: 0.802266
[32]	valid_0's auc: 0.802407
[33]	valid_0's auc: 0.80289
[34]	valid_0's auc: 0.802886
[35]	valid_0's auc: 0.802994
[36]	valid_0's auc: 0.803062
[37]	valid_0's auc: 0.803235
[38]	valid_0's auc: 0.80341
[39]	valid_0's auc: 0.803542
[40]	valid_0's auc: 0.803508
[41]	valid_0's auc: 0.803673
[42]	valid_0's auc: 0.804021
[43]	valid_0's auc: 0.804062
[44]	valid_0's auc: 0.804189
[45]	valid_0's auc: 0.80413
[46]	valid_0's auc: 0.804477
[47]	valid_0's auc: 0.804669
[48]	valid_0's auc: 0.804754
[49]	valid_0's auc: 0.805013
[50]	valid_0's auc: 0.80502
[51]	valid_0's auc: 0.805066
[52]	valid_0's auc: 0.805436
[53]	valid_0's auc: 0.80548
[54]	valid_0's auc: 0.805517
[55]	valid_0's auc: 0.805648
[56]	valid_0's auc: 0.805627
[57]	valid_0's auc: 0.805662
[58]	valid_0's auc: 0.805659
[59]	valid_0's auc: 0.805659
[60]	valid_0's auc: 0.805704
[61]	valid_0's auc: 0.805746
[62]	valid_0's auc: 0.805881
[63]	valid_0's auc: 0.805993
[64]	valid_0's auc: 0.806062
[65]	valid_0's auc: 0.806079
[66]	valid_0's auc: 0.806972
[67]	valid_0's auc: 0.806957
[68]	valid_0's auc: 0.807009
[69]	valid_0's auc: 0.807037
[70]	valid_0's auc: 0.807157
[71]	valid_0's auc: 0.807171
[72]	valid_0's auc: 0.807159
[73]	valid_0's auc: 0.807221
[74]	valid_0's auc: 0.807699
[75]	valid_0's auc: 0.807738
[76]	valid_0's auc: 0.807717
[77]	valid_0's auc: 0.807775
[78]	valid_0's auc: 0.807826
[79]	valid_0's auc: 0.807849
[80]	valid_0's auc: 0.807878
[81]	valid_0's auc: 0.808062
[82]	valid_0's auc: 0.808116
[83]	valid_0's auc: 0.808305
[84]	valid_0's auc: 0.808283
[85]	valid_0's auc: 0.808335
[86]	valid_0's auc: 0.808371
[87]	valid_0's auc: 0.808366
[88]	valid_0's auc: 0.808407
[89]	valid_0's auc: 0.808409
[90]	valid_0's auc: 0.808426
[91]	valid_0's auc: 0.808458
[92]	valid_0's auc: 0.808509
[93]	valid_0's auc: 0.808727
[94]	valid_0's auc: 0.808769
[95]	valid_0's auc: 0.808783
[96]	valid_0's auc: 0.808827
[97]	valid_0's auc: 0.80886
[98]	valid_0's auc: 0.808886
[99]	valid_0's auc: 0.808918
[100]	valid_0's auc: 0.808947
[101]	valid_0's auc: 0.809345
[102]	valid_0's auc: 0.809383
[103]	valid_0's auc: 0.809387
[104]	valid_0's auc: 0.809457
[105]	valid_0's auc: 0.809454
[106]	valid_0's auc: 0.809487
[107]	valid_0's auc: 0.809711
[108]	valid_0's auc: 0.809731
[109]	valid_0's auc: 0.809769
[110]	valid_0's auc: 0.809793
[111]	valid_0's auc: 0.809811
[112]	valid_0's auc: 0.809867
[113]	valid_0's auc: 0.809915
[114]	valid_0's auc: 0.809941
[115]	valid_0's auc: 0.809963
[116]	valid_0's auc: 0.809969
[117]	valid_0's auc: 0.810024
[118]	valid_0's auc: 0.810069
[119]	valid_0's auc: 0.810084
[120]	valid_0's auc: 0.810171
[121]	valid_0's auc: 0.810244
[122]	valid_0's auc: 0.810388
[123]	valid_0's auc: 0.810368
[124]	valid_0's auc: 0.810471
[125]	valid_0's auc: 0.810515
[126]	valid_0's auc: 0.810566
[127]	valid_0's auc: 0.8106
[128]	valid_0's auc: 0.810634
[129]	valid_0's auc: 0.810675
[130]	valid_0's auc: 0.810735
[131]	valid_0's auc: 0.810978
[132]	valid_0's auc: 0.810987
[133]	valid_0's auc: 0.811049
[134]	valid_0's auc: 0.811072
[135]	valid_0's auc: 0.811161
[136]	valid_0's auc: 0.811173
[137]	valid_0's auc: 0.811202
[138]	valid_0's auc: 0.811261
[139]	valid_0's auc: 0.811292
[140]	valid_0's auc: 0.811338
[141]	valid_0's auc: 0.811388
[142]	valid_0's auc: 0.811403
[143]	valid_0's auc: 0.811439
[144]	valid_0's auc: 0.811464
[145]	valid_0's auc: 0.811487
