[1]	valid_0's binary_logloss: 0.682735
Training until validation scores don't improve for 20 rounds
[2]	valid_0's binary_logloss: 0.68001
[3]	valid_0's binary_logloss: 0.677339
[4]	valid_0's binary_logloss: 0.67472
[5]	valid_0's binary_logloss: 0.672151
[6]	valid_0's binary_logloss: 0.669631
[7]	valid_0's binary_logloss: 0.667159
[8]	valid_0's binary_logloss: 0.664733
[9]	valid_0's binary_logloss: 0.662357
[10]	valid_0's binary_logloss: 0.660021
[11]	valid_0's binary_logloss: 0.657731
[12]	valid_0's binary_logloss: 0.655486
[13]	valid_0's binary_logloss: 0.65328
[14]	valid_0's binary_logloss: 0.651114
[15]	valid_0's binary_logloss: 0.648991
[16]	valid_0's binary_logloss: 0.646905
[17]	valid_0's binary_logloss: 0.644856
[18]	valid_0's binary_logloss: 0.642846
[19]	valid_0's binary_logloss: 0.640873
[20]	valid_0's binary_logloss: 0.638933
[21]	valid_0's binary_logloss: 0.637032
[22]	valid_0's binary_logloss: 0.635161
[23]	valid_0's binary_logloss: 0.633322
[24]	valid_0's binary_logloss: 0.63152
[25]	valid_0's binary_logloss: 0.629747
[26]	valid_0's binary_logloss: 0.628007
[27]	valid_0's binary_logloss: 0.626299
[28]	valid_0's binary_logloss: 0.624621
[29]	valid_0's binary_logloss: 0.622976
[30]	valid_0's binary_logloss: 0.621356
[31]	valid_0's binary_logloss: 0.619769
[32]	valid_0's binary_logloss: 0.618198
[33]	valid_0's binary_logloss: 0.616667
[34]	valid_0's binary_logloss: 0.615157
[35]	valid_0's binary_logloss: 0.61367
[36]	valid_0's binary_logloss: 0.612211
[37]	valid_0's binary_logloss: 0.61078
[38]	valid_0's binary_logloss: 0.609353
[39]	valid_0's binary_logloss: 0.607954
[40]	valid_0's binary_logloss: 0.606597
[41]	valid_0's binary_logloss: 0.605238
[42]	valid_0's binary_logloss: 0.603913
[43]	valid_0's binary_logloss: 0.602605
[44]	valid_0's binary_logloss: 0.60132
[45]	valid_0's binary_logloss: 0.600067
[46]	valid_0's binary_logloss: 0.598827
[47]	valid_0's binary_logloss: 0.597616
[48]	valid_0's binary_logloss: 0.596411
[49]	valid_0's binary_logloss: 0.595222
[50]	valid_0's binary_logloss: 0.594069
[51]	valid_0's binary_logloss: 0.59292
[52]	valid_0's binary_logloss: 0.591787
[53]	valid_0's binary_logloss: 0.590697
[54]	valid_0's binary_logloss: 0.589601
[55]	valid_0's binary_logloss: 0.588529
[56]	valid_0's binary_logloss: 0.587485
[57]	valid_0's binary_logloss: 0.586444
[58]	valid_0's binary_logloss: 0.58544
[59]	valid_0's binary_logloss: 0.584429
[60]	valid_0's binary_logloss: 0.583458
[61]	valid_0's binary_logloss: 0.582482
[62]	valid_0's binary_logloss: 0.581534
[63]	valid_0's binary_logloss: 0.580595
[64]	valid_0's binary_logloss: 0.579665
[65]	valid_0's binary_logloss: 0.578749
[66]	valid_0's binary_logloss: 0.577849
[67]	valid_0's binary_logloss: 0.576969
[68]	valid_0's binary_logloss: 0.576089
[69]	valid_0's binary_logloss: 0.57523
[70]	valid_0's binary_logloss: 0.574382
[71]	valid_0's binary_logloss: 0.573551
[72]	valid_0's binary_logloss: 0.57272
[73]	valid_0's binary_logloss: 0.5719
[74]	valid_0's binary_logloss: 0.571112
[75]	valid_0's binary_logloss: 0.570327
[76]	valid_0's binary_logloss: 0.569548
[77]	valid_0's binary_logloss: 0.568791
[78]	valid_0's binary_logloss: 0.568035
[79]	valid_0's binary_logloss: 0.5673
[80]	valid_0's binary_logloss: 0.566565
[81]	valid_0's binary_logloss: 0.565856
[82]	valid_0's binary_logloss: 0.565147
[83]	valid_0's binary_logloss: 0.564447
[84]	valid_0's binary_logloss: 0.563741
[85]	valid_0's binary_logloss: 0.56307
[86]	valid_0's binary_logloss: 0.562376
[87]	valid_0's binary_logloss: 0.561721
[88]	valid_0's binary_logloss: 0.561047
[89]	valid_0's binary_logloss: 0.560372
[90]	valid_0's binary_logloss: 0.559752
[91]	valid_0's binary_logloss: 0.559098
[92]	valid_0's binary_logloss: 0.558456
[93]	valid_0's binary_logloss: 0.557823
[94]	valid_0's binary_logloss: 0.557236
[95]	valid_0's binary_logloss: 0.556622
[96]	valid_0's binary_logloss: 0.556024
[97]	valid_0's binary_logloss: 0.555468
[98]	valid_0's binary_logloss: 0.554879
[99]	valid_0's binary_logloss: 0.5543
[100]	valid_0's binary_logloss: 0.55376
Did not meet early stopping. Best iteration is:
[100]	valid_0's binary_logloss: 0.55376
